country,iso_alpha,1977,1982,1987,1992,1997,2002,2007,change_to_2007,%change_to_2007
Algeria,DZA,17152804,20033753,23254956,26298373,29072015,31287142,33333216,16180412,94.33%
Angola,AGO,6162675,7016384,7874230,8735988,9875024,10866106,12420476,6257801,101.54%
Benin,BEN,3168267,3641603,4243788,4981671,6066080,7026113,8078314,4910047,154.98%
Botswana,BWA,781472,970347,1151184,1342614,1536536,1630347,1639131,857659,109.75%
Burkina Faso,BFA,5889574,6634596,7586551,8878303,10352843,12251209,14326203,8436629,143.25%
Burundi,BDI,3834415,4580410,5126023,5809236,6121610,7021078,8390505,4556090,118.82%
Cameroon,CMR,7959865,9250831,10780667,12467171,14195809,15929988,17696293,9736428,122.32%
Central African Republic,CAF,2167533,2476971,2840009,3265124,3696513,4048013,4369038,2201505,101.57%
Chad,TCD,4388260,4875118,5498955,6429417,7562011,8835739,10238807,5850547,133.32%
Comoros,COM,304739,348643,395114,454429,527982,614382,710960,406221,133.3%
"Congo, Dem. Rep.",COD,26480870,30646495,35481645,41672143,47798986,55379852,64606759,38125889,143.98%
"Congo, Rep.",COG,1536769,1774735,2064095,2409073,2800947,3328795,3800610,2263841,147.31%
Cote d'Ivoire,CIV,7459574,9025951,10761098,12772596,14625967,16252726,18013409,10553835,141.48%
Djibouti,DJI,228694,305991,311025,384156,417908,447416,496374,267680,117.05%
Egypt,EGY,38783863,45681811,52799062,59402198,66134291,73312559,80264543,41480680,106.95%
Equatorial Guinea,GNQ,192675,285483,341244,387838,439971,495627,551201,358526,186.08%
Eritrea,ERI,2512642,2637297,2915959,3668440,4058319,4414865,4906585,2393943,95.28%
Ethiopia,ETH,34617799,38111756,42999530,52088559,59861301,67946797,76511887,41894088,121.02%
Gabon,GAB,706367,753874,880397,985739,1126189,1299304,1454867,748500,105.96%
Gambia,GMB,608274,715523,848406,1025384,1235767,1457766,1688359,1080085,177.57%
Ghana,GHA,10538093,11400338,14168101,16278738,18418288,20550751,22873338,12335245,117.05%
Guinea,GIN,4227026,4710497,5650262,6990574,8048834,8807818,9947814,5720788,135.34%
Guinea-Bissau,GNB,745228,825987,927524,1050938,1193708,1332459,1472041,726813,97.53%
Kenya,KEN,14500404,17661452,21198082,25020539,28263827,31386842,35610177,21109773,145.58%
Lesotho,LSO,1251524,1411807,1599200,1803195,1982823,2046772,2012649,761125,60.82%
Liberia,LBR,1703617,1956875,2269414,1912974,2200725,2814651,3193942,1490325,87.48%
Libya,LBY,2721783,3344074,3799845,4364501,4759670,5368585,6036914,3315131,121.8%
Madagascar,MDG,8007166,9171477,10568642,12210395,14165114,16473477,19167654,11160488,139.38%
Malawi,MWI,5637246,6502825,7824747,10014249,10419991,11824495,13327079,7689833,136.41%
Mali,MLI,6491649,6998256,7634008,8416215,9384984,10580176,12031795,5540146,85.34%
Mauritania,MRT,1456688,1622136,1841240,2119465,2444741,2828858,3270065,1813377,124.49%
Mauritius,MUS,913025,992040,1042663,1096202,1149818,1200206,1250882,337857,37.0%
Morocco,MAR,18396941,20198730,22987397,25798239,28529501,31167783,33757175,15360234,83.49%
Mozambique,MOZ,11127868,12587223,12891952,13160731,16603334,18473780,19951656,8823788,79.29%
Namibia,NAM,977026,1099010,1278184,1554253,1774766,1972153,2055080,1078054,110.34%
Niger,NER,5682086,6437188,7332638,8392818,9666252,11140655,12894865,7212779,126.94%
Nigeria,NGA,62209173,73039376,81551520,93364244,106207839,119901274,135031164,72821991,117.06%
Reunion,REU,492095,517810,562035,622191,684810,743981,798094,305999,62.18%
Rwanda,RWA,4657072,5507565,6349365,7290203,7212583,7852401,8860588,4203516,90.26%
Sao Tome and Principe,STP,86796,98593,110812,125911,145608,170372,199579,112783,129.94%
Senegal,SEN,5260855,6147783,7171347,8307920,9535314,10870037,12267493,7006638,133.18%
Sierra Leone,SLE,3140897,3464522,3868905,4260884,4578212,5359092,6144562,3003665,95.63%
Somalia,SOM,4353666,5828892,6921858,6099799,6633514,7753310,9118773,4765107,109.45%
South Africa,ZAF,27129932,31140029,35933379,39964159,42835005,44433622,43997828,16867896,62.17%
Sudan,SDN,17104986,20367053,24725960,28227588,32160729,37090298,42292929,25187943,147.25%
Swaziland,SWZ,551425,649901,779348,962344,1054486,1130269,1133066,581641,105.48%
Tanzania,TZA,17129565,19844382,23040630,26605473,30686889,34593779,38139640,21010075,122.65%
Togo,TGO,2308582,2644765,3154264,3747553,4320890,4977378,5701579,3392997,146.97%
Tunisia,TUN,6005061,6734098,7724976,8523077,9231669,9770575,10276158,4271097,71.12%
Uganda,UGA,11457758,12939400,15283050,18252190,21210254,24739869,29170398,17712640,154.59%
Zambia,ZMB,5216550,6100407,7272406,8381163,9417789,10595811,11746035,6529485,125.17%
Zimbabwe,ZWE,6642107,7636524,9216418,10704340,11404948,11926563,12311143,5669036,85.35%
